r	02	P058	58	02.58	Q263	Y267	溪入+	溪入+	溪入+	42b	064p	溪入+	溪入+	溪入+	口八切	口八切	口八切	65a	0229-0302a	02076727-00000194	㓞	㓞	㓞	𭃌	*
r	02	P059	59	02.59	Q251	Y251	溪入-	溪入-	溪入-	42b	064p	溪入-	溪入-	溪入-	丘玉切	丘玉切	丘玉切	65a	0229-0302a	02076727-00000194	曲	曲	曲	曲	*



v	03	36	24
r	03	P060	01	03.01	Q233	Y231	群平+	群平+	群平+	01b	066p	群平+	群平+	群平+	渠參切	渠參切	其林切	01b	0229-0294d	02076728-00000003	琴	琴	琴	琴	*
r	03	P061	02	03.02	Q274	Y272	群平-	群平-	群平-	01b	066p	群平-	群平-	群平-	渠姬切	渠姬切	巨基切	01b	0229-0294d	02076728-00000003	丌	丌	丌	丌	*
r	03	P062	03	03.03	q004	L050	群平-	群平-	群平-	01b	066p	群平-	群平-	群平-	渠宜切	巨宜切	渠之切	02a	0229-0295a	02076728-00000004	其	其	其	其	*
r	03	P063	04	03.04	Q198	Y202	群上+	群上+	群上+	01b	066p	群上+	群上+	群上+	渠九切	渠九切	渠九切	02a	0229-0295a	02076728-00000004	臼	𦥑	𦥑	𦥑	*
r	03	P064	05	03.05	Q450	Y450	群去+	群去+	群去+	02a	066q	群去+	群去+	群去+	渠用切	渠用切	渠用切	02b	0229-0295b	02076728-00000005	共	共	共	共	*
r	03	P065	06	03.06	Q090	Y090	疑平+	疑平+	疑平+	02a	066q	疑平+	疑平+	疑平+	語軒切	語軒切	魚〾軒切	02b	0229-0295b	02076728-00000005	言	言	言	言	讠
r	03	P066	07	03.07	Q060	Y060	疑平-	疑平-	疑平-	08b	073p	疑平-	疑平-	疑平-	五加切	五加切	五加切	12a	0229-0300a	02076728-00000024	牙	牙	牙	牙	*
r	03	P067	08	03.08	Q398	Y397	疑平-	疑平-	疑平-	08b	073p	疑平-	疑平-	疑平-	元初切	語居切	偶初切	12a	0229-0300a	02076728-00000024	魚	魚	魚	魚	鱼
r	03	P068	09	03.09	Q359	Y358	疑平-	疑平-	疑平-	12a	076q	疑平-	疑平-	疑平-	語由切	語由切	語由切	17b	0229-0302d	02076728-00000035	牛	牛	牛	牛	*
r	03	P069	10	03.10	Q347	Y350	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	魚爲切	魚爲切	魚嬀切	20b	0229-0304b	02076728-00000041	危	危	危	危	*
r	03	P070	11	03.11	Q449	Y449	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	牛林切	牛林切	牛林切	20b	0229-0304b	02076728-00000041	乑	乑	乑	乑	㐺,众
r	03	P071	12	03.12	q006	L061	疑平-	疑平-	疑平-	14a	078q	疑平-	疑平-	疑平-	魚喧切	魚喧切	魚元切	21a	0229-0304c	02076728-00000042	元	元	元	元	*
r	03	P072	13	03.13	Q352	Y347	疑平-	疑平-	疑平-	14a	078q	疑上+	疑上+	疑平-	魚險切	魚險切	魚險切	21a	0229-0304c	02076728-00000042	广	广	广	广	*
r	03	P073	14	03.14	Q236	Y242	疑平-	疑平-	疑平-	17a	081q	疑上-	疑上-	疑平-	五寡切	五寡切	五寡切	25a	0229-0306c	02076728-00000050	瓦	瓦	瓦	瓦	*
r	03	P074	15	03.15	Q176	Y174	疑去+	疑去+	疑去+	18a	082q	疑去+	疑去+	疑去+	五漑切	五漑切	五慨切	27a	0229-0307c	02076728-00000054	𥝌	〾未	〾未	〾未	*
r	03	P075	16	03.16	Q228	Y229	疑去-	疑去-	疑去-	18a	082q	疑去-	疑去-	疑去-	五過切	五過切	五過切	27a	0229-0307c	02076728-00000054	臥	臥	卧	臥	*
r	03	P076	17	03.17	Q309	Y309	疑入+	疑入+	疑入+	18a	082q	疑入+	疑入+	疑入+	魚厥切	魚厥切	魚厥切	27a	0229-0307c	02076728-00000054	月	月	月	月	*
r	03	P077	18	03.18	Q004	Y007	疑入-	疑入-	疑入-	18b	083p	疑入-	疑入-	疑入-	魚欲切	魚欲切	魚欲切	27b	0229-0307d	02076728-00000055	玉	玉	玉	玉	*
r	03	P078	19	03.19	Q350	Y346	疑入-	疑入-	疑入-	22b	087p	疑入-	疑入-	疑入-	五葛切	五葛切	五桀切	33b	0229-0310d	02076728-00000067	屵	屵	屵	屵	*
r	03	P079	20	03.20	Q145	Y150	疑入-	疑入-	疑入-	23a	087q	疑入-	疑入-	疑入-	吾曷切	五曷切	吾曷切	34a	0229-0311a	02076728-00000068	歹	歹	歹	歹	歺



v	04	32	21
r	04	P080	01	04.01	Q159	Y158	端平+	端平+	端平+	01b	091p	端平+	端平+	端平+	德紅切	德紅切	德紅切	02a	0229-0313a	02076728-00000076	東	東	東	東	东
r	04	P081	02	04.02	Q315	Y315	端平-	端平-	端平-	01b	091p	端平-	端平-	端平-	德河切	德河切	德河切	02a	0229-0313a	02076728-00000076	多	多	多	多	*
r	04	P082	03	04.03	Q333	Y339	端平-	端平-	端平-	02a	091q	端平-	端平-	端平-	都寒切	都寒切	都寒切	02b	0229-0313b	02076728-00000077	丹	丹	丹	丹	*
r	04	P083	04	04.04	Q268	Y266	端平-	端平-	端平-	02a	091q	端平-	端平-	端平-	都勞切	都勞切	都牢切	02b	0229-0313b	02076728-00000077	刀	刀	刀	刀	*
r	04	P084	05	04.05	Q351	Y353	端平-	端平-	端平-	04b	094p	端平-	端平-	端平-	都回切	都回切	都回切	07a	0229-0315c	02076728-00000086	𠂤	𠂤	𠂤	𠂤	*
r	04	P085	06	04.06	Q518	Y516	端平-	端平-	端平-	04b	094p	端平-	端平-	端平-	當經切	當經切	當經切	07a	0229-0315c	02076728-00000086	丁	丁	丁	丁	*
r	04	P086	07	04.07	Q464	Y464	端平-	端平-	端平-	04b	094p	端平-	端平-	端平-	丁丸切	丁丸切	丁丸切	07a	0229-0315c	02076728-00000086	耑	耑	耑	耑	*
r	04	P087	08	04.08	Q341	Y342	端上+	端上+	端平-	04b	094p	端上+	端上+	端平-	丁禮切	丁禮切	丁兮切	07a	0229-0315c	02076728-00000086	氐	氐	氐	氐	*
r	04	P088	09	04.09	Q245	Y246	端上-	端上-	端上+	05a	094q	端上-	端上-	端上+	當口切	當口切	當口切	07a	0229-0315c	02076728-00000086	斗	斗	斗	斗	*
r	04	P089	10	04.10	Q237	Y241	端上-	端上-	端上-	05a	094q	端上-	端上-	端上-	都挺切	都挺切	丁冷切	07b	0229-0315d	02076728-00000087	鼎	鼎	鼎	鼎	*
r	04	P090	11	04.11	Q393	Y390	端上-	端上-	端上-	05a	094q	端上-	端上-	端上-	都了切	都小切	都了切	08a	0229-0316a	02076728-00000088	鳥	鳥	鳥	鳥	鸟
r	04	P091	12	04.12	Q073	Y073	端去+	端去+	端去+	10b	100p	端去+	端去+	端去+	都寇切	都寇切	都寇切	15b	0229-0319d	02076728-00000103	鬥	鬥	鬥	鬥	*
r	04	P092	13	04.13	q001	L070	透平+	透平+	透平~	11a	100q	透平+	透平+	透平~	他前切	他前切	他前切	16a	0229-0320a	02076728-00000104	天	天	天	天	*
r	04	P093	14	04.14	Q116	Y117	透平-	透平-	透平-	11a	100q	透平-	透平-	透平-	丑高切	丑高切	丑高切	16a	0229-0320a	02076728-00000104	夲	夲	夲	夲	*
r	04	P094	15	04.15	Q009	Y009	透上+	透上+	透上+	11a	100q	透上+	透上+	透上+	他古切	他古切	他古切	16a	0229-0320a	02076728-00000104	土	土	土	土	*
r	04	P095	16	04.16	Q226	Y227	透上-	透上-	透上-	17a	106q	透上-	透上-	透上-	他頂切	他頂切	他井切	25b	0229-0324d	02076728-00000123	𡈼	𡈼	𡈼	𡈼	壬
r	04	P096	17	04.17	Q376	Y375	透去+	透去+	透去+	17a	106q	透去+	透去+	透去+	湯故切	湯故切	他故切	26a	0229-0325a	02076728-00000124	兔	兔	兔	兔	兎
r	04	P097	18	04.18	Q015	Y013	定平+	定平+	定平+	17b	107p	定平+	定平+	定平+	徒堅切	徒堅切	度堅切	26a	0229-0325a	02076728-00000124	田	田	田	田	*
r	04	P098	19	04.19	Q177	Y181	定平-	定平-	定平-	18b	108p	定平-	定平-	定平-	徒幺切	徒幺切	徒幺切	28a	0229-0326a	02076728-00000128	𠧪	𠧪	𠧪	𠧪	*
r	04	P099	20	04.20	q002	L020	定平-	定平-	定平-	19a	108q	定平-	定平-	定平-	徒鉤切	徒鉤切	徒候切	28b	0229-0326b	02076728-00000129	亠	亠	亠	亠	*
r	04	P100	21	04.21	Q033	Y034	定上+	定上+	定上+	19a	108q	定上+	定上+	定上+	大禮切	大禮切	大禮切	29a	0229-0326c	02076728-00000130	弟	弟	弟	弟	*
r	04	P101	22	04.22	Q321	Y321	定去+	定去+	定去+	19b	109p	定去+	定去+	定去+	徒蓋切	徒蓋切	徒蓋切	29a	0229-0326c	02076728-00000130	大	大	大	大	*
r	04	P102	23	04.23	Q235	Y236	定去-	定去-	定去-	20b	110p	定去-	定去-	定去-	徒遘切	徒遘切	徒遘切	31a	0229-0327c	02076728-00000134	豆	豆	豆	豆	*
r	04	P103	24	04.24	Q458	Y458	定去-	定去-	定去-	20b	110p	定去-	定去-	定去-	特耐切	特耐切	特耐切	31b	0229-0327d	02076728-00000135	隶	隶	隶	隶	*
r	04	P104	25	04.25	Q369	Y368	定去-	定去-	定去-	21a	110q	定去-	定去-	定去-	特計切	特計切	特計切	31b	0229-0327d	02076728-00000135	㣇	㣇	㣇	㣇	*
r	04	P105	26	04.26	Q026	Y027	泥平+	泥平+	泥Ａ+	21a	110q	泥平+	泥平+	泥平+	奴含切	奴含切	奴含切	31b	0229-0327d	02076728-00000135	男	男	男	男	*
r	04	P106	27	04.27	Q380	Y379	泥平-	泥平-	泥Ａ-	21a	110q	泥平-	泥平-	泥平-	奴登切	奴登切	奴登切	32a	0229-0328a	02076728-00000136	能	能	能	能	*
r	04	P107	28	04.28	Q093	Y093	泥上+	泥上+	泥Ａ-	21a	110q	泥上+	泥上+	泥上+	奴改切	奴改切	奴改切	32a	0229-0328a	02076728-00000136	乃	乃	乃	乃	*
r	04	P108	29	04.29	Q112	Y110	泥入+	泥入+	泥入+	21b	111p	泥入+	泥入+	泥入+	奴沒切	奴沒切	奴沒切	32a	0229-0328a	02076728-00000136	㕯	⿱内口	⿱内口	⿱内口	*



v	05	39	30
r	05	P109	01	05.01	Q122	Y122	知上+	知上+	知上+	01b	113p	知上+	知上+	知上+	猪几切	猪几切	猪几切	01b	0229-0328d	02076729-00000003	夂	夂	夂	夂	夊
r	05	P110	02	05.02	Q429	Y429	知上-	知上-	知上-	01b	113p	知上-	知上-	知上-	猪死切	猪死切	猪死切	02a	0229-0329a	02076729-00000004	黹	〾黹	〾黹	〾黹	*
r	05	P111	03	05.03	Q339	Y338	知上-	知上-	知上-	01b	113p	知上-	知上-	知上-	知柱切	知柱切	知柱切	02a	0229-0329a	02076729-00000004	丶	丶	丶	丶	主
r	05	P112	04	05.04	Q231	Y233	知去+	知去+	知去+	02a	113q	知去+	知去+	知去+	張裕切	張裕切	張裕切	02a	0229-0329a	02076729-00000004	壴	壴	壴	壴	*
r	05	P113	05	05.05	Q167	Y166	知入+	知入+	知入+	02a	113q	知入+	知入+	知入+	張六切	張六切	張六切	02b	0229-0329b	02076729-00000005	竹	竹	竹	竹	*
r	05	P114	06	05.06	Q498	Y497	知入-	知入-	知入-	09a	120q	知入-	知入-	知入-	陟劣切	陟劣切	陟劣切	11b	0229-0333d	02076729-00000023	叕	叕	叕	叕	*
r	05	P115	07	05.07	Q533	Y531	徹上+	徹上+	徹上+	09a	120q	徹上+	徹上+	徹上+	敕久切	敕久切	敕久切	11b	0229-0333d	02076729-00000023	丑	丑	丑	丑	*
r	05	P116	08	11.21	Q200	Y199	穿去+	穿去+	穿上-	12a	123q	徹去+	徹去+	徹去+	敕向切	敕向切	敕亮切	11b	0229-0333d	02076729-00000023	鬯	鬯	鬯	鬯	*
r	05	P117	09	05.09	Q127	Y127	徹入-	徹入-	徹入-	09b	121p	徹入+	徹入+	徹入+	他約切	他約切	他略切	12a	0229-0334a	02076729-00000024	辵	辵	辵	辵	辶
r	05	P118	10	05.10	Q119	Y119	徹入-	徹入-	徹入-	14a	125q	徹入-	徹入-	徹入-	丑亦切	丑亦切	丑亦切	18a	0229-0337a	02076729-00000036	彳	彳	彳	彳	*
r	05	P119	11	05.08	Q375	Y374	徹入+	徹入+	徹入+	09b	121p	徹入-	徹入-	徹入-	丑略切	丑略切	丑略切	20b	0229-0338b	02076729-00000041	㲋	㲋	㲋	㲋	*
r	05	P120	12	05.11	Q444	Y444	澄平+	澄平+	澄Ａ+	15b	127p	澄平+	澄平+	澄平+	直良切	直良切	直良切	20b	0229-0338b	02076729-00000041	長	長	長	長	镸,长
r	05	P121	13	05.12	Q238	Y240	澄上+	澄上+	澄上+	16b	128p	澄上+	澄上+	澄上+	直勇切	直勇切	直勇切	21b	0229-0338d	02076729-00000043	重	重	重	重	*
r	05	P122	14	05.13	Q372	Y371	澄上-	澄上-	澄上-	16b	128p	澄上-	澄上-	澄上-	宅買切	宅買切	宅買切	21b	0229-0338d	02076729-00000043	𢊁	𢊁	廌	𢊁	*
r	05	P123	15	05.14	Q386	Y385	澄上-	澄上-	澄上-	16b	128p	澄上-	澄上-	澄上-	直爾切	直爾切	直爾切	22a	0229-0339a	02076729-00000044	豸	豸	豸	豸	*
r	05	P124	16	05.15	Q513	Y511	澄上-	澄上-	澄上-	17b	129p	澄上-	澄上-	澄上-	除兩切	除兩切	除兩切	23a	0229-0339c	02076729-00000046	丈	丈	丈	丈	*
r	05	P125	17	05.16	Q142	Y140	澄上-	澄上-	澄上-	17b	129p	澄上-	澄上-	澄上-	治旅切	治旅切	治旅切	23a	0229-0339c	02076729-00000046	宁	宁	宁	宁	*
r	05	P126	18	05.17	Q281	Y278	澄上-	澄上-	澄上-	17b	129p	澄上-	澄上-	澄上-	除矯切	除矯切	除矯切	23b	0229-0339d	02076729-00000047	兆	兆	兆	兆	*
r	05	P127	19	05.18	Q156	Y156	澄上-	澄入+	澄入+	17b	129p	澄入+	澄入+	澄入+	直列切	直列切	雉列切	23b	0229-0339d	02076729-00000047	屮	屮	屮	屮	屮
r	05	P128	20	05.19	Q028	Y035	孃上+	孃上+	孃上+	18a	129q	孃上+	孃上+	孃上+	尼與切	尼與切	尼與切	23b	0229-0339d	02076729-00000047	女	女	女	女	*
r	05	P129	21	05.20	Q111	Y116	孃入+	孃入+	孃入+	24b	136p	孃入+	孃入+	孃入+	女涉切	女涉切	女涉切	32b	0229-0344b	02076729-00000065	㚔	㚔	㚔	㚔	𢆎,幸
r	05	P130	22	05.21	Q150	Y148	孃入-	孃入-	孃入-	25a	136q	孃入-	孃入-	孃入-	尼厄切	尼厄切	尼厄切	32b	0229-0344b	02076729-00000065	疒	疒	疒	疒	*
r	05	P131	23	05.22	Q455	Y455	孃入-	孃入-	孃入+	30a	141q	孃入-	孃入-	孃入-	女涉切	女涉切	女涉切	39b	0229-0347d	02076729-00000075	帇	帇	帇	帇	*



v	06	17	12
r	06	P132	01	06.01	Q063	Y065	幫平+	幫平+	幫平+	01b	144p	幫平+	幫平+	幫平+	比遥切	必遥切	比聊切	01b	0229-0348b	02076729-00000077	髟	髟	髟	髟	*
